f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,grade
176,4.2886597938,1,15.15625,485,30,399,37,32,116,56,403,8
202,4.0415584416,1,20.2631578947,385,16,304,44,19,97,29,404,8
266,4.4810659187,1,19.2702702703,713,57,568,54,37,202,83,405,9
183,4.5299539171,0,33.3846153846,434,28,356,14,13,106,50,406,8
152,4.1391076115,0,13.1379310345,381,27,324,38,29,84,43,407,8
141,4.6883116883,0,19.25,308,13,239,24,16,82,37,408,8
118,4.3742857143,0,19.4444444444,350,16,248,23,18,118,30,409,8
174,4.1489361702,1,20.5625,329,23,269,30,16,83,27,410,8
244,4.6944444444,1,18,504,52,421,57,28,135,74,411,12
200,4.4397321429,1,13.5757575758,448,23,353,50,33,118,45,412,10
191,4.1089108911,2,16.16,404,29,314,63,25,119,37,413,9
147,4.1296829971,5,15.0869565217,347,20,290,29,23,77,32,414,8
156,4.1823529412,0,13.6,340,15,284,36,25,71,34,415,7
99,3.9825581395,0,12.2857142857,172,16,158,17,14,30,11,416,6
132,3.9573643411,0,25.8,258,12,205,17,10,65,15,417,8
249,4.6029900332,3,17.7058823529,602,38,457,59,34,183,82,418,12
97,4.2100456621,0,10.95,219,20,186,25,20,53,13,419,6
137,4.3384615385,0,15.2941176471,260,16,205,35,17,71,31,420,8
108,4.1924882629,1,19.3636363636,213,16,186,23,11,43,24,421,6
159,3.9014925373,1,27.9166666667,335,16,297,13,12,54,22,422,7
198,4.315581854,3,17.4827586207,507,34,413,38,29,128,51,423,9
214,4.4237288136,1,15.2258064516,472,25,355,66,31,142,49,424,9
191,4.0289855072,0,20.125,483,38,427,54,24,94,33,425,10
199,4.3846153846,5,20.0909090909,442,37,365,48,22,114,48,426,9
244,4.4814814815,0,13.5,513,38,430,84,38,121,71,427,11
144,4.0757575758,2,30,330,12,247,33,11,95,16,428,8
191,4.2166246851,0,12.8064516129,397,43,353,41,31,87,45,429,9
237,3.9878472222,1,13.3953488372,576,39,467,66,43,148,40,430,8
223,4.5787321063,1,16.8620689655,489,35,399,58,29,125,54,431,11
156,4.3605442177,0,10.5,294,23,226,44,28,91,36,432,8
237,4.4067085954,2,13.6285714286,477,26,372,50,35,131,44,433,11
164,3.9337175793,0,28.9166666667,347,18,310,14,12,55,18,434,7
293,4.0932475884,9,18.8484848485,622,42,532,55,33,132,41,435,11
191,4.4937343358,2,15.96,399,33,324,44,25,108,48,436,8
170,4.3746312684,0,13.56,339,34,298,37,25,75,41,437,8
134,4.4391025641,1,12.48,312,13,246,36,25,79,35,438,8
186,4.3085585586,2,27.75,444,30,380,21,16,94,45,439,10
120,4.0739549839,1,18.2941176471,311,18,271,21,17,58,24,440,8
183,4.4174757282,1,15.2592592593,412,30,335,47,27,107,53,441,8
156,4.5036674817,2,17.0416666667,409,23,318,51,24,114,58,442,10
126,4.2682926829,2,35.875,287,16,222,14,8,81,26,443,8
171,4.6587537092,1,17.7368421053,337,20,229,46,19,128,45,444,8
93,3.9791666667,0,17.1428571429,240,5,188,20,14,57,20,445,8
206,4.6572668113,1,17.7307692308,461,35,340,44,26,156,71,446,10
242,4.4282982792,0,14.1351351351,523,33,400,77,37,156,63,447,11
215,4.4265734266,0,18.652173913,429,38,340,52,23,127,48,448,9
127,4.1219512195,1,16.8823529412,287,22,252,23,17,57,25,450,7
156,3.8250652742,0,15.32,383,22,337,45,25,68,22,451,8
87,4.3891625616,0,20.3,203,20,170,20,10,53,25,452,7
170,4.551558753,2,11.2702702703,417,32,332,45,37,117,57,453,9
203,3.9664570231,2,17.6666666667,477,30,415,32,27,92,35,454,8
58,4.1208791209,0,30.3333333333,91,5,77,3,3,19,5,455,4
149,4.2413793103,0,24.8571428571,348,16,271,26,14,93,28,456,7
230,4.5506072874,6,15.935483871,494,44,407,47,31,131,75,457,10
144,4.4678571429,0,18.6666666667,280,23,237,38,15,66,40,458,9
159,4.0547945205,0,22.4615384615,292,16,234,31,13,74,20,459,8
221,4.2,1,13.9705882353,475,22,359,57,34,138,52,460,8
165,4.0710227273,2,11.3548387097,352,28,302,48,31,78,38,461,8
185,4.2094972067,0,19.8888888889,358,37,317,37,18,78,37,462,8
221,4.2993197279,2,14.7,441,31,368,37,30,104,54,463,8
116,4.1423220974,1,16.6875,267,13,204,19,16,76,20,464,7
182,4.3376205788,2,12.44,311,20,244,50,25,87,38,465,8
174,4.2551319648,1,15.5,341,25,272,24,22,94,35,466,9
162,4.8099688474,0,15.2857142857,321,25,258,34,21,88,59,467,8
117,4.2233502538,0,17.9090909091,197,13,158,16,11,52,25,468,8
208,4.696,1,16.3043478261,375,43,306,46,23,112,45,469,9
167,4.3275862069,2,17.4,348,29,281,45,20,96,35,470,8
128,4.4157303371,0,9.8888888889,267,18,222,27,27,63,29,471,8
234,4.3578336557,3,17.2333333333,517,52,409,50,30,160,79,472,12
134,3.85,1,17.5,280,12,237,16,16,55,10,473,7
73,3.8015267176,1,11.9090909091,131,3,104,11,11,30,11,474,6
245,4.2941176471,3,19.04,476,32,382,58,25,126,51,475,9
163,4.0686813187,1,17.3333333333,364,20,289,26,21,95,31,476,8
96,4.5274725275,0,18.2,182,10,144,26,10,48,25,477,6
170,4.4042553191,0,17.0909090909,376,30,314,48,22,92,41,478,8
232,4.2955974843,3,13.6285714286,477,36,394,67,35,119,52,479,10
142,4.2444444444,1,15.75,315,21,248,29,20,88,31,480,8
218,4.4255319149,2,16.7857142857,470,18,324,48,28,164,69,481,10
180,4.5178571429,5,12.6451612903,392,18,298,35,31,112,52,482,9
179,4.0512195122,1,29.2857142857,410,26,340,27,14,96,38,483,9
123,4.6124401914,1,16.0769230769,209,22,173,23,13,58,34,484,7
221,4.0675944334,2,14.3714285714,503,25,400,47,35,128,50,485,10
206,4.33203125,2,17.0666666667,512,29,426,60,30,115,52,486,9
153,4.1206349206,2,18.5294117647,315,18,272,31,17,61,32,487,8
159,4.0958083832,1,13.9166666667,334,20,273,38,24,81,36,488,8
258,4.4378585086,3,17.4333333333,523,36,413,59,30,146,66,489,9
240,4.0782122905,9,13.7692307692,537,37,455,65,39,119,37,490,8
149,3.8994565217,2,30.6666666667,368,23,306,17,12,85,28,491,8
151,4.2243589744,2,24,312,24,265,28,13,71,29,492,7
148,4.2616487455,0,21.4615384615,279,11,216,15,13,74,28,493,8
212,4.6024096386,0,12.5757575758,415,32,352,55,33,95,61,494,9
160,4.4064516129,1,14.0909090909,310,26,248,44,22,88,34,495,8
157,4.1094224924,0,16.45,329,14,254,38,20,89,41,496,9
261,4.1845238095,0,19.2,672,43,582,58,35,133,56,497,9
277,4.4490909091,1,20.3703703704,550,38,404,68,27,184,63,498,12
204,4.0216346154,2,11.2432432432,416,20,345,55,37,91,45,499,9
205,4.596107056,1,11.4166666667,411,25,314,56,36,122,60,500,10
173,4.1448467967,0,12.3793103448,359,28,289,30,29,98,30,501,8
64,4.496124031,0,25.8,129,4,96,9,5,37,17,502,7
135,4.3456790123,0,24.3,243,16,209,13,10,50,25,503,8
228,4.58,0,12.8205128205,500,34,398,93,39,136,69,504,10
194,4,0,14.75,413,31,340,52,28,104,38,505,10
124,3.9469964664,1,28.3,283,20,262,21,10,41,12,506,7
260,4.407523511,1,13.0204081633,638,43,530,80,49,151,78,507,10
185,4.7012987013,0,18.1176470588,308,26,244,28,17,90,45,508,9
214,4.6167076167,1,22.6111111111,407,33,330,46,18,110,56,509,11
140,4.4597701149,1,12.4285714286,261,21,211,27,21,71,32,510,7
126,3.965648855,2,16.375,262,14,206,27,16,70,22,511,8
132,3.9273927393,0,33.6666666667,303,21,255,9,9,69,16,512,8
186,4.3641025641,2,14.4444444444,390,24,314,49,27,100,51,513,8
130,4.2107623318,1,13.9375,223,17,172,28,16,68,20,514,8
149,3.8814102564,0,20.8,312,17,276,18,15,53,15,515,8
218,4.4339207048,1,13.3529411765,454,35,390,59,34,99,57,516,8
196,3.9283887468,3,14.4814814815,391,27,334,37,27,84,30,517,8
142,4.5358255452,2,16.05,321,34,253,31,20,102,39,518,8
246,4.4951076321,3,14.6,511,39,394,76,35,156,71,519,12
114,4.0615942029,1,25.0909090909,276,18,203,15,11,91,15,520,6
106,4.3541666667,0,15,240,10,200,16,16,50,28,521,7
206,4.5870069606,3,13.46875,431,38,365,51,32,104,73,522,9
233,4.3319672131,3,20.3333333333,488,43,410,52,24,121,47,523,10
167,3.9845758355,1,9.9743589744,389,14,308,52,39,95,35,524,8
174,4.1296829971,0,17.35,347,30,304,49,20,73,33,525,9
133,4.0734265734,2,19.0666666667,286,9,226,28,15,69,30,526,7
126,4.337398374,0,14.4705882353,246,9,185,34,17,70,21,527,8
113,4.118556701,2,17.6363636364,194,10,162,15,11,42,23,528,6
125,4.4612068966,0,25.7777777778,232,11,186,19,9,57,27,529,7
191,4.3590361446,0,18.0434782609,415,30,320,46,23,125,49,530,10
194,4.0917874396,1,12.5454545455,414,19,350,36,33,83,40,531,10
190,4.2588832487,1,17.1304347826,394,17,323,31,23,88,44,532,8
202,4.2366071429,0,16.5925925926,448,28,367,46,27,109,65,533,8
330,4.550397878,4,16.7555555556,754,42,563,87,45,233,104,534,11
128,4.0921787709,2,19.8888888889,358,18,294,21,18,82,35,535,8
137,4.6059701493,3,14.5652173913,335,28,265,28,23,98,42,536,8
167,4.1933534743,1,15.7619047619,331,19,262,37,21,88,28,537,8
131,3.8154761905,0,21,336,13,280,17,16,69,27,538,8
147,4.1391076115,0,42.3333333333,381,20,310,22,9,91,29,539,9
139,4.217765043,2,16.619047619,349,15,286,26,21,78,25,540,8
194,4.025462963,1,12.7058823529,432,12,341,42,34,103,38,541,8
273,4.3644859813,2,13.0487804878,535,33,429,69,41,139,56,542,10
151,4.2624584718,2,9.1212121212,301,24,257,47,33,68,27,543,8
175,4.7192982456,0,19,342,21,259,34,18,104,47,544,8
14,4.4375,0,8,16,3,15,2,2,4,2,545,2
99,4.1698113208,1,26.5,159,15,134,11,6,40,13,546,6
136,4.4089709763,1,16.4782608696,379,23,318,42,23,84,45,547,8
208,4.3974358974,1,16.25,390,26,314,49,24,102,44,548,8
182,4.5014662757,0,18.9444444444,341,20,270,38,18,91,48,549,8
270,4.4739495798,0,14.875,595,47,481,76,40,161,76,550,10
139,4.4479166667,5,20.2105263158,384,34,294,27,19,124,50,551,8
79,4.0594059406,0,15.5384615385,202,19,168,28,13,53,9,552,6
167,4.3398058252,1,18.7272727273,412,35,355,31,22,92,46,553,8
182,4.3357314149,0,21.9473684211,417,28,348,21,19,97,49,554,8
268,4.3951310861,3,16.1818181818,534,44,439,66,33,139,48,555,11
221,3.9447513812,2,15.5142857143,543,41,468,51,35,116,43,556,10
241,4.1423423423,2,15,555,32,466,44,37,121,45,557,10
244,4.4989648033,0,18.5769230769,483,36,401,82,26,118,50,558,10
221,4.557312253,0,20.24,506,42,383,52,25,165,65,559,12
190,4.151193634,0,19.8421052632,377,34,321,34,19,90,38,560,8
154,4.0973451327,0,16.95,339,20,276,23,20,83,31,561,8
238,4.1797979798,3,15.9677419355,495,47,425,50,31,117,56,562,10
116,4.2592592593,0,13.5,189,17,152,26,14,54,17,563,7
175,4.5435294118,0,17,425,44,341,47,25,128,62,564,8
223,4.2648305085,0,17.4814814815,472,35,397,40,27,110,45,565,9
133,4.5864661654,1,14,266,19,209,21,19,76,39,566,8
120,3.9846743295,0,23.7272727273,261,21,226,13,11,56,18,567,8
196,4.3159144893,1,15.5925925926,421,29,344,44,27,106,47,568,8
148,4.1698113208,2,18.7058823529,318,19,259,24,17,78,32,569,8
200,3.9215291751,0,19.88,497,27,415,46,25,109,29,570,8
188,4.4727272727,3,16.7391304348,385,42,321,42,23,106,47,571,9
255,4.7311827957,2,19.2413793103,558,44,454,79,29,148,93,572,11
255,4.5290102389,2,15.4210526316,586,43,468,60,38,161,70,573,10
132,4.0384615385,1,8.6666666667,260,12,215,38,30,57,26,574,8
225,4.5905882353,0,18.4782608696,425,35,348,36,23,112,61,575,10
184,4.3837837838,3,18.5,370,21,299,42,20,92,46,576,8
87,4.04,1,18.75,150,9,127,12,8,32,13,577,6
124,4.3409961686,1,17.4,261,15,212,21,15,64,28,578,9
163,4.1460674157,2,16.1818181818,356,21,279,32,22,98,32,579,8
190,3.8615071283,2,15.8387096774,491,26,415,63,31,102,30,580,8
171,4.3968668407,3,13.2068965517,383,24,308,41,29,99,49,581,8
213,4.5463659148,1,11.4,399,33,330,47,35,102,54,582,11
204,3.7134387352,0,25.3,506,27,442,44,20,91,31,583,9
208,3.8584558824,1,36.2666666667,544,18,448,26,15,114,33,584,9
286,4.6550079491,3,14.2954545455,629,48,519,79,44,158,87,585,11
160,4.1151315789,1,13.2173913043,304,17,245,33,23,76,23,586,8
202,3.9029126214,4,10.8421052632,412,22,338,45,38,96,32,587,9
257,4.3258003766,1,16.59375,531,45,435,62,32,141,72,588,10
71,4.1485148515,1,16.8333333333,101,9,89,7,6,21,10,589,5
94,3.9466666667,0,11.5384615385,150,8,128,15,13,30,11,590,6
181,4.1428571429,3,16.4347826087,378,23,318,32,23,83,30,591,8
145,4.4938271605,1,9,243,26,203,34,27,66,31,592,8
190,4.048,0,15.625,375,39,316,50,24,98,34,593,10
111,4.5226130653,1,12.4375,199,22,180,18,16,41,23,594,7
144,5.1142857143,0,18.6666666667,280,24,209,41,15,95,56,595,8
94,4.2816091954,2,29,174,6,144,8,6,36,17,596,6
198,4.3583690987,0,14.5625,466,24,376,64,32,114,40,597,8
172,3.8933717579,2,17.35,347,15,281,22,20,81,23,598,8
216,4.4127358491,2,18.4347826087,424,25,347,30,23,102,55,599,8
89,3.7534883721,0,71.6666666667,215,17,176,3,3,56,11,600,6
130,4.3410138249,2,14.4666666667,217,12,185,33,15,44,18,601,8
124,4.5637860082,1,24.3,243,13,170,21,10,86,42,602,8
312,4.258790436,2,16.5348837209,711,65,567,69,43,209,61,603,11
163,4.6883116883,2,14.6666666667,308,16,226,42,21,98,47,604,9
107,3.9076923077,0,39,195,13,150,15,5,58,8,605,6
208,4.1581196581,1,21.2727272727,468,30,409,47,22,89,36,606,8
199,4.1866666667,2,17.3076923077,450,32,388,44,26,94,44,607,9
182,4.3537234043,0,20.8888888889,376,24,281,36,18,119,40,608,7
132,4.1038461538,0,32.5,260,12,205,22,8,67,26,609,7
151,4.0766283525,1,16.3125,261,9,193,19,16,77,23,610,7
147,4.2133995037,1,26.8666666667,403,33,338,26,15,98,32,611,9
199,4.3995535714,2,14,448,25,350,40,32,123,45,612,10
162,4.2787356322,1,13.3846153846,348,16,287,35,26,77,46,613,8
133,4.2230483271,0,13.45,269,21,227,39,20,63,21,614,6
191,4.4389671362,1,15.2142857143,426,31,362,50,28,95,54,615,9
149,4.2042042042,0,37,333,15,272,21,9,76,22,616,8
183,4.5011600928,0,19.5909090909,431,27,351,38,22,107,52,617,9
222,4.2719101124,2,13.4848484848,445,34,389,35,33,90,56,618,8
295,4.6129597198,2,16.3142857143,571,34,426,74,35,179,90,619,11
93,4.1256544503,0,10.6111111111,191,12,156,30,18,47,18,620,7
97,3.7068062827,1,47.75,191,13,164,4,4,40,14,621,8
145,4.3224637681,1,12.5454545455,276,22,224,36,22,74,31,622,8
97,4.0695187166,0,23.375,187,16,163,13,8,40,12,623,6
155,4.1283783784,2,12.8695652174,296,22,252,29,23,66,33,624,8
209,4.1233480176,1,19.7391304348,454,24,366,39,23,112,41,625,11
118,4.3492063492,0,19.3846153846,252,17,194,28,13,75,25,626,7
101,4.5307692308,0,21.6666666667,260,17,218,18,12,59,24,627,8
154,4.5551724138,0,15.2631578947,290,23,240,34,19,73,35,628,11
220,4.7139588101,3,12.1388888889,437,31,353,55,36,115,54,629,11
201,4.1287128713,0,15.5384615385,404,46,359,50,26,91,40,630,8
101,4.2240437158,1,12.2,183,9,155,20,15,37,15,631,6
202,4.2631578947,0,19.9047619048,418,32,349,46,21,101,39,632,10
169,4.2091836735,1,17.0434782609,392,16,305,35,23,103,37,633,8
93,3.808988764,2,59.3333333333,178,15,159,3,3,34,7,634,5
233,4.1703539823,1,10.7619047619,452,36,387,50,42,101,42,635,10
161,4.6697530864,1,18,324,25,261,38,18,88,58,636,9
159,4.4450704225,2,12.6785714286,355,20,272,43,28,103,38,637,8
172,4.2866666667,0,16.6666666667,300,21,241,31,18,80,31,638,8
106,4.028708134,1,29.8571428571,209,16,172,11,7,53,17,639,6
153,3.9554140127,1,22.4285714286,314,17,261,26,14,70,29,640,7
113,4.3389121339,0,13.2777777778,239,9,186,22,18,62,21,641,7
185,4.1838074398,0,15.2333333333,457,28,374,38,30,111,46,642,8
234,4.5507518797,1,15.2,532,36,421,55,35,147,80,643,10
174,4.9076923077,2,14.7727272727,325,24,256,32,22,93,62,644,8
156,4.1577540107,2,13.8518518519,374,21,308,36,27,87,28,645,8
145,4.3843648208,1,20.4666666667,307,16,234,19,15,89,36,646,9
169,4.652173913,0,15.7368421053,299,26,244,24,19,81,42,647,11
83,4.2430939227,0,8.2272727273,181,10,119,25,22,72,12,648,6
137,4.1985815603,1,16.5882352941,282,21,242,36,17,61,19,649,8
229,4.4681318681,1,15.1666666667,455,29,353,54,30,131,54,650,10
165,3.9292307692,1,13,325,17,269,55,25,73,24,651,8
133,4.3246753247,0,12.8333333333,231,24,202,29,18,53,24,652,9
139,4.2247557003,0,15.35,307,14,248,26,20,73,28,653,8
237,4.6123348018,2,13.3529411765,454,29,355,38,34,128,67,654,10
127,4.2941176471,1,14.7333333333,221,16,189,19,15,48,25,655,7
158,3.8400900901,0,26.1176470588,444,20,369,19,17,95,22,656,9
146,4.0902255639,1,14.25,399,9,325,35,28,83,30,657,9
155,4.332361516,1,17.15,343,22,284,36,20,81,40,658,8
207,4.487745098,2,17,408,20,316,35,24,112,48,659,10
239,4.5054466231,2,15.3,459,45,381,73,30,123,56,660,11
153,4.4128787879,2,16.5,264,18,209,32,16,73,27,661,8
119,3.9751243781,0,22.3333333333,201,15,174,19,9,42,20,662,6
169,4.1285347044,1,18.5238095238,389,25,333,40,21,81,38,663,8
191,4.213963964,3,17.0769230769,444,37,384,33,26,97,44,664,9
118,3.7868852459,1,17.4285714286,244,16,209,18,14,51,15,665,7
179,4.4042553191,0,22.2631578947,423,27,337,28,19,113,44,666,8
163,3.8829787234,1,19.7894736842,376,13,304,28,19,85,32,667,9
197,4.6361386139,0,11.2222222222,404,31,322,52,36,113,67,668,10
171,4.060475162,1,16.5357142857,463,28,396,45,28,95,42,669,8
176,4.1761658031,0,20.3157894737,386,25,324,30,19,87,35,670,8
129,4.5310077519,0,17.2,258,16,211,24,15,63,42,671,8
194,4.3287037037,1,17.28,432,26,355,44,25,103,49,672,9
74,4.368,1,13.8888888889,125,3,94,17,9,34,11,673,6
116,4.327510917,0,12.0526315789,229,22,204,26,19,47,28,674,8
185,3.939675174,0,22.6842105263,431,24,361,16,19,94,28,675,8
127,4.1576763485,0,21.9090909091,241,15,197,15,11,59,20,676,8
140,4.0747330961,1,23.4166666667,281,24,239,19,12,66,19,677,8
192,4.1051693405,0,23.375,561,31,466,28,24,126,38,678,8
161,3.9584569733,1,14.652173913,337,16,288,30,23,65,25,679,8
196,4.1295546559,1,26,494,26,405,47,19,115,42,680,9
153,4.075,5,17.1428571429,360,13,303,29,21,70,27,681,8
240,4.2676864245,1,14.9428571429,523,33,420,53,35,136,46,682,11
232,4.0038240918,0,12.4523809524,523,34,447,73,42,110,36,683,10
156,4.6965944272,1,13.4583333333,323,19,254,39,24,88,44,684,8
170,5.0123839009,0,15.380952381,323,19,246,32,21,96,72,685,8
186,4.1975308642,1,15.5769230769,405,32,337,34,26,100,32,686,9
156,3.9696969697,0,14.347826087,330,12,291,25,23,51,14,687,8
167,4.3413793103,1,20.7142857143,290,13,228,39,14,75,40,688,9
184,4.1534653465,1,18.3636363636,404,31,354,38,22,81,31,689,8
173,4.2931506849,0,13.5185185185,365,29,301,50,27,93,36,690,9
103,4.2316384181,1,29.5,177,9,147,6,6,39,11,691,6
77,3.8415300546,0,61,183,6,156,5,3,33,22,692,6
144,4.188449848,2,29.9090909091,329,14,271,12,11,72,30,693,8
165,4.5120481928,4,13.8333333333,332,26,280,31,24,78,44,694,8
156,4.3563829787,1,16.347826087,376,25,306,35,23,95,47,695,9
145,4.0943396226,0,16.5625,265,15,220,30,16,60,23,696,8
153,4.3074712644,0,13.3846153846,348,23,262,42,26,109,40,697,8
128,3.867219917,1,34.4285714286,241,15,200,10,7,56,15,698,6
345,4.3371356147,5,17.9318181818,789,48,647,96,44,190,92,699,12
132,3.8464285714,1,17.5,280,12,229,25,16,63,15,700,8
179,4.2126436782,0,10.5454545455,348,26,297,35,33,77,35,701,8
72,4.3558282209,0,23.2857142857,163,10,143,10,7,30,22,702,6
187,4.3255208333,0,19.2,384,24,281,54,20,127,41,703,8
102,3.8085106383,0,19.5833333333,235,6,189,18,12,52,12,704,7
183,4.1866666667,3,16.0714285714,450,32,392,51,28,90,49,705,8
166,4.4741784038,0,12.1714285714,426,23,334,51,35,115,58,706,10
152,3.8279883382,1,22.8666666667,343,14,263,32,15,94,14,707,8
185,4.1721311475,4,17.4285714286,366,30,319,41,21,77,28,708,9
205,4.1786372007,0,15.5142857143,543,33,404,59,35,172,53,709,10
196,4.2857142857,2,14,406,23,335,50,29,94,50,710,11
233,4.2774049217,0,21.2857142857,447,30,385,56,21,92,35,711,10
145,4.2390745501,2,17.6818181818,389,26,296,28,22,119,29,712,9
160,4.1449704142,4,15.3636363636,338,22,275,37,22,85,23,713,10
203,4.5749385749,0,16.28,407,53,339,42,25,121,48,714,9
86,3.7454545455,1,12.6923076923,165,4,133,14,13,36,14,715,8
145,4.0741839763,1,13.48,337,9,275,43,25,71,27,716,9
140,4.4535315985,0,9.275862069,269,17,212,32,29,74,38,717,8
232,4.3739495798,4,16.4137931034,476,32,386,52,29,122,61,718,10
128,4.2804428044,2,15.9411764706,271,22,240,20,17,53,33,719,7
223,4.3926056338,1,20.2857142857,568,44,494,37,28,118,50,720,10
208,4.4910941476,0,18.7142857143,393,37,322,31,21,108,56,721,9
294,4.5591216216,5,15.1794871795,592,44,501,74,39,135,87,722,10
226,4.36996337,4,17.6129032258,546,30,415,55,31,161,67,723,10
128,4.4256198347,2,12.7368421053,242,6,163,30,19,85,27,724,8
99,4.2126436782,1,21.75,174,13,134,13,8,53,13,725,6
159,4.1709401709,0,15.2608695652,351,18,277,24,23,92,34,726,10
99,4.3612903226,0,19.375,155,11,129,15,8,37,18,727,6
136,4.201754386,0,17.1,342,22,270,23,20,94,30,728,8
110,4.3910891089,1,12.625,202,14,169,23,16,47,26,729,7
248,4.3731343284,1,18.4827586207,536,52,442,46,29,146,74,730,10
222,4.2075098814,2,20.24,506,32,418,29,25,120,56,731,8
152,4.0315457413,0,18.6470588235,317,16,248,38,17,85,28,732,9
81,4.275,0,13.3333333333,120,6,96,19,9,30,10,733,8
214,4.4276595745,3,13.4285714286,470,43,401,60,35,112,55,734,10
227,4.4539614561,1,20.3043478261,467,33,409,54,23,91,60,735,9
203,4.0742574257,2,15.5384615385,404,30,351,38,26,83,33,736,10
204,4.2562189055,1,14.8888888889,402,32,345,58,27,89,42,737,8
135,4.4105691057,2,18.9230769231,246,19,201,29,13,64,22,738,6
176,4.3333333333,2,11.7931034483,342,37,306,45,29,73,33,739,9
163,4.2100840336,4,25.0526315789,476,36,399,22,19,113,54,740,8
168,4.7652733119,1,19.4375,311,22,250,32,16,83,43,741,8
225,3.7808219178,2,14.243902439,584,35,456,68,41,163,20,742,10
239,4.3788546256,3,16.2142857143,454,25,369,58,28,110,47,743,10
167,4.2030769231,3,16.25,325,12,238,44,20,99,28,744,9
199,4.2605042017,2,34,476,28,398,15,14,106,41,745,9
175,4.0816326531,2,14.9130434783,343,29,305,36,23,67,28,746,8
124,4.4611872146,0,14.6,219,16,174,24,15,61,27,747,8
188,4.1770334928,1,15.4814814815,418,22,350,43,27,90,43,748,8
225,4.1431623932,0,12.3157894737,468,19,379,73,38,108,56,749,10
172,4.0694444444,0,22.5,360,19,296,34,16,83,27,750,8
135,4.0956521739,1,18.1578947368,345,18,286,27,19,77,30,751,8
102,4.2248803828,0,19,209,13,174,15,11,48,20,752,7
121,4.390070922,1,31.3333333333,282,26,239,18,9,69,29,753,8
200,4.6203208556,2,16.2608695652,374,23,299,42,23,98,55,754,9
244,4.3282442748,3,18.0689655172,524,30,416,62,29,138,60,755,9
157,4.3607594937,0,26.3333333333,316,27,266,17,12,77,36,756,8
233,4.4808184143,3,15.64,391,29,320,57,25,100,55,757,9
145,4.2338028169,2,16.1363636364,355,27,282,31,22,100,25,758,8
181,4.8780487805,0,14.76,369,19,282,40,25,106,76,759,10
173,4.0796703297,0,19.1578947368,364,19,296,32,19,87,28,760,9
138,4.3655913978,6,18.6,279,16,221,28,15,74,34,761,8
214,4.4449339207,1,12.6111111111,454,38,384,66,36,108,65,762,10
140,4.6828193833,2,9.08,227,14,178,35,25,63,32,763,8
240,4.1843478261,2,19.1666666667,575,34,475,38,30,134,52,764,9
128,4.1847389558,3,12.45,249,20,206,25,20,63,14,765,7
132,4.0884615385,1,28.8888888889,260,14,219,16,9,55,20,766,8
121,4.0056818182,0,13.5384615385,352,22,272,30,26,102,26,767,8
152,4.1390134529,3,26.2352941176,446,43,396,24,17,93,37,768,8
254,4.7169459963,2,17.3225806452,537,34,420,47,31,151,85,769,10
167,4.0212765957,2,13.16,329,10,275,33,25,64,31,770,8
203,4.0913140312,7,20.4090909091,449,23,358,30,22,114,52,771,9
236,4.5,2,15.75,504,33,397,51,32,140,60,772,10
206,4.2054794521,2,15.1034482759,438,34,369,28,29,103,44,773,8
186,4.4974358974,4,20.5263157895,390,30,306,26,19,114,38,774,8
120,4.2314814815,1,9,216,16,157,37,24,75,12,775,7
106,4.5531914894,0,31.3333333333,188,15,157,12,6,46,21,776,7
255,4.2899628253,2,11.6956521739,538,25,424,67,46,139,70,777,10
211,4.3280182232,3,18.2916666667,439,21,350,43,24,110,50,778,9
149,4.6088328076,0,17.6111111111,317,24,269,47,18,72,36,779,8
188,4.2966804979,0,25.3684210526,482,40,409,23,19,113,54,780,9
220,4.1612903226,0,18.1724137931,527,32,446,40,29,113,39,781,10
250,4.308,1,13.5135135135,500,27,392,59,37,135,51,782,11
139,4.0068728522,1,20.7857142857,291,9,240,15,14,60,23,783,7
253,4.5579710145,2,18.4,552,28,418,56,30,162,80,784,10
147,4.4637362637,0,20.6818181818,455,42,374,34,22,123,49,785,8
157,4.4551724138,1,11.6,290,21,244,26,25,67,50,786,8
178,4.5573770492,0,17.4285714286,366,40,319,42,21,87,44,787,8
159,4.0573770492,0,24.4,366,15,289,23,15,92,35,788,8
134,4.2079646018,1,32.2857142857,226,20,179,19,7,67,16,789,7
189,4.1163895487,0,15.5925925926,421,20,332,39,27,109,48,790,9
136,4.2532894737,3,16,304,29,264,23,19,69,32,791,8
169,4.3582089552,1,13.4,335,20,253,49,25,102,42,792,8
231,4.6332665331,0,15.59375,499,43,423,48,32,119,75,793,11
180,3.887254902,5,13.6,408,25,342,41,30,91,28,794,8
182,4.0816326531,0,15.0769230769,392,26,325,34,26,93,44,795,8
178,4.453125,0,12.3076923077,320,28,279,37,26,69,40,796,8
242,4.033203125,4,14.2222222222,512,20,423,62,36,109,42,797,10
266,3.9175257732,7,18.3513513514,679,28,573,58,37,134,45,798,9
105,4.2083333333,0,20.5714285714,288,15,203,20,14,100,19,799,8
203,4.3619047619,0,22.1052631579,420,46,381,48,19,85,49,800,10
238,4.2131147541,5,10.6086956522,488,36,398,59,46,126,32,801,9
161,4.1124620061,4,13.7083333333,329,28,279,28,24,78,33,802,8
137,4.1044776119,3,14.8888888889,268,15,224,25,18,59,18,803,6
111,4.115,0,13.3333333333,200,9,171,24,15,38,21,804,8
